Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Korean, Chinese (Simplified), Japanese","Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",4.4stars,"1,753",Approximately 5 months to complete,Coursera
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Korean","Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ","Rav Ahuja ,Antonio Cangiano ,",4.7stars,"2,218",Approximately 3 months to complete,Coursera
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,,Business,Finance,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Portuguese (Brazilian), Korean","Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ","Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",4.5stars,"2,412",Approximately 4 months to complete,Coursera
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,English,"Subtitles: English, French","Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",4.7stars,"2,780",Approximately 4 months to complete,Coursera
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Portuguese (Brazilian)","Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",4.5stars,"7,555",Approximately 6 months to complete,Coursera
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Chinese (Simplified), Korean, Mongolian","Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",4.6stars,"15,725",Approximately 6 months to complete,Coursera
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Hungarian","Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",4.9stars,"42,571",Approximately 6 months to complete,Coursera
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ","Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",4.5stars,"8,649",Approximately 4 months to complete,Coursera
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,English,Subtitles: English,"ESG, Investment, Climate Change, Finance, social activism, ","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",4.7stars,643,Approximately 4 months to complete,Coursera
AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton,"Learn the Fundamentals of  AI and Machine Learning. Develop a deployment strategy for incorporating AI, ML, and Big Data into your organization that will take advantage of cutting-edge technologies",Business,Leadership and Management,Specialization,English,Subtitles: English,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention, ","Kartik Hosanagar ,Prasanna Tambe ,Michael R Roberts ,Raghu Iyengar ,Matthew Bidwell ,Peter Cappelli ,Lynn Wu ,Kevin Werbach ,",4.7stars,169,Approximately 4 months to complete,Coursera
Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management,Implement a modern approach to product management. Master the fundamentals that create great teams and products,Computer Science,Design and Product,Specialization,English,"Subtitles: English, Chinese (Traditional), Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing, ","Alex Cowan ,",4.8stars,"2,681",Approximately 5 months to complete,Coursera
Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business,,Business,Leadership and Management,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, Spanish, Chinese (Traditional), Hungarian","Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking, ","Michael Lenox ,Amane Dannouni ,Sonja Rueger ,Ching Fong Ong ,Jeanne M. Liedtka ,Alex Cowan ,",4.7stars,"2,699",Approximately 4 months to complete,Coursera
Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project. ,Arts and Humanities,Music and Art,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Serbian","Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign, ","Michael Worthington ,Anther Kiley ,Gail Swanlund ,Louise Sandhaus ,Lorraine Wild ,",4.7stars,"15,224",Approximately 6 months to complete,Coursera
Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals,Launch your career in Cybersecurity.. Acquire the knowledge you need to work as a Cybersecurity Analyst.,Information Technology,Security,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst, ","IBM Security Learning Services ,",4.8stars,749,Approximately 4 months to complete,Coursera
Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english,Improve Your English Communication Skills. Write and speak more professionally in English to increase your business success.,Language Learning,Learning English,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, Turkish, Slovak, Spanish, Japanese, Persian, Afrikaans, Hindi","Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech, ","Gerry Landers ,Amalia B. Stephens ,Karen Peterson ,",4.8stars,"15,297",Approximately 5 months to complete,Coursera
Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship,"Turn Your Idea into a Funded Business. Develop, launch, fund and grow your own business",Business,Entrepreneurship,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing, ","Lori Rosenkopf ,Karl  T. Ulrich ,Ethan Mollick ,Kartik Hosanagar ,David Hsu ,",4.8stars,"4,764",Approximately 6 months to complete,Coursera
Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology,Positive Psychology:  Well-being for life. Master strategies and tools that enable individuals and organizations to thrive,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Ukrainian, Portuguese (European), Greek, Italian, Vietnamese, German, Russian, Spanish, Polish, Japanese","Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing, ","Martin E.P. Seligman, Ph.D. ,James Pawelski, Ph.D.  ,Claire Robertson-Kraft, Ph.D. ,Angela Duckworth, Ph.D. ,Karen Reivich, Ph.D. ,",4.8stars,"6,479",Approximately 5 months to complete,Coursera
Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,"Launch Your Career in Data Science. A ten-course introduction to data science, developed and taught by leading professors.",Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, Korean, German, Russian, Spanish, Chinese (Simplified), Portuguese (Brazilian), Japanese","Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis, ","Jeff Leek, PhD ,Roger D. Peng, PhD ,Brian Caffo, PhD ,",4.5stars,"38,510",Approximately 11 months to complete,Coursera
Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management,"Supply Chain Management. Master the Fundamentals: Logistics, Operations, Planning, Sourcing, and Strategy",Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Greek, Italian, Vietnamese, German, Russian, Turkish, Spanish, Hungarian","Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting, ","Rudolf Leuschner, Ph.D. ,",4.8stars,"11,037",Approximately 6 months to complete,Coursera
Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech,,Business,Business Essentials,Specialization,English,"Subtitles: English, French, Portuguese (European), Vietnamese, Russian, Spanish, Chinese (Simplified)","Investment Management, Cryptocurrency, regulation, Blockchain, ","Christopher Geczy ,Natasha Sarin ,Jessica Wachter ,Sarah Hammer ,David Musto ,",4.6stars,"3,316",Approximately 4 months to complete,Coursera
Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals,Pursue your passion and improve your productivity. Learn how to use the best-in-class suite of apps that help you stay connected and get things done.,Business,Business Essentials,Specialization,English,Subtitles: English,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation, "," Microsoft ,",4.7stars,"1,123",Approximately 5 months to complete,Coursera
Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo,Become an SEO Expert. Master search engine optimization tools and strategies,Business,Marketing,Specialization,English,Subtitles: English,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing, ","Rebekah May ,Eric Enge ,",4.7stars,"10,289",Approximately 5 months to complete,Coursera
AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke,"Manage the Design & Development of ML Products. Understand how machine learning works and when and how it can be applied to solve problems.  Learn to apply the data science process and best practices to lead machine learning projects,  and how to develop human-centered AI products which ensure privacy and ethical standards.",Data Science,Machine Learning,Specialization,English,Subtitles: English,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics, ","Jon Reifschneider ,",4.7stars,165,Approximately 4 months to complete,Coursera
Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java,"Boost Your Computer Programming Skills. With minimal previous exposure, learn two popular programming languages at an accelerated pace.",Computer Science,Software Development,Specialization,English,"Subtitles: English, Korean","Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools, ","Brandon Krakowsky ,",4.4stars,960,Approximately 4 months to complete,Coursera
Construction Management Specialization,https://www.coursera.org/specializations/construction-management,Construction Project Management and Planning. Develop and understand the foundations of project planning and scheduling techniques,Business,Leadership and Management,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method, ","Ibrahim Odeh, Ph.D., MBA ,",4.8stars,"6,900",Approximately 7 months to complete,Coursera
